term,notes
Mucatahut,
Mürim,Use for: Murim
Muşi,
Muska,
Mystras,
Mytilini,
Nadin,
Naksa,
Nakşe,Use for: Naksha
Naples,
Napoli,
Napoli de romania,
Narda,
Narenta,
Nauplion,
Navarin Pylos,
Navarino,
Navarıno,
Naxos,
Nazaret,
Nazareth,
Negroponte,
Neretva,Use for: Naretva
Nicosia,
Nicossia,
Nifuş,
Njegosi,
Nojorid,
Nova,
Novgrad,
Novi,
Novigrad,
Nuguş,
Obrovac,
Obrovaç,
Ohri,
Olgun,
Ottoman Empire,
Oxford,
Özi,
Padova,
Padua,
Pag,
Pakostane,
Palormo,
Panormos,
Paramythia,
Parança,
Parast,Use for: Parastı
Parcic,
Pare,
parga,
Paris,
Pastrovichi,Use for: Pastrovic; Pastrovich
Paštrovići,
Patnos,
Patras,
Pazga,
Peleponese,
Pera,
Perast,
Perasto,Use for: Parasto; Presto
Persia,
Peschiera,
Peştrovnik,
Philadelphia,
Platamon,Use for: Platamona; Platemin; Platomane
Plovdiv,
Pobesan,
Podgorica,
Podgoriçe,
Podgorje,
Podogi,
Poglizza,
Poland,
Poljica,
Posedarje,
Pozan,
Prakişta,
Prasra,
Prast,
Presda,
Prevesa,
Preveza,Use for: Preveze
Prusa,
Pylos,
Pylos,
Racesna,Use for: Recesna
Ragusa,
Raşid,
Ratnichiza,
Resne,
Rethymno,
Rhodes,
Rianto,
Risan,
Rocca del Colfo,
Rodi,
Rodos,
Rodosçuk,
Roma,
Rome,
Rossetta,
Rovigno,
Rumeli,Use for: Rumili
Rumelia,
Ruscuk,
Ruse,
sagal,
Sair,
Sakiz,
Salanta,
Saline,
Salonica,
Şam,
Samo,
Samos,
Sanak,
Santa Maura,
Santorin,
Santorini,
Santoz,
Sarajevo,
Saruhan,
Şayanik,
Sayda,
Sayfa,
Scardona,
Scio,
Scopia,
Scradona Croatia,
Scutari,
Sebenico,
Şebenik,Use for: Şebnik; Sebenik
Secremen,
Selanik,
Semaverhan,
Semendirek,Use for: Semendire
Semizce,
Senj,
Şepçe,
Serbia,
Seremen,
şerif,
Sermin,
Shkodër,
Shpat,
Šibenik,Use for: Shibenik
Sifanto,
Sifnos,
Sifnoz,
Silişta,
Silivrea,Use for: Cilivrea; Selymbria
Silivri,
Sinj,
Sinje,
Sire,
Siroz,
Sivirihisar,
Skopje,
Skradin,
Skradin,
Skyros,
Smirne,
Smyrna,
Sofacik,
Sofia,
Sofya,
Sopikos,
Sorhoz,
Spagna,
Spain,
Spalato,Use for: Spalatto
Spic,
Split,
Stovrece,
Sukosan,
Sultaniye,
Sumatrak,
Sumnu,
Susam adası,
Suvakin,
Syria,Use for: Şam
Talanda,
Tamras,
Tarsus,
Temizce,
Tenedo,
Tenedos,
,
Thessaloniki,Use for: Thessalonica; Thesalonika; Salonichi
Thrace,
Tinos,Use for: İstendil
Tire,
Tora,
Torat,
Toroçlu,Use for: Torodlu
Trablus,
Trablusgarb,
Trablusşam,
Trau,
Traù,
Trieste,
Tripoli (Lebanon),
Tripoli (Libya),
Trogir,
Tuna,
Tunbe,
Tunis,
Tunisia,
Tunus,
Turencir,
Turkey,
Turzenya,
Tuzla,
Udbina,
Ukraine,
Ulcinj,
Ülgün,
Ümiş,
Urem,
Uskub,
Üsküb,
Uskudar,
Uskuf,
Uzuncaova,
Uzunzhovo,
Vallona,
Valtolinya,
Valtonya,
Vatiko,
Velesin,
Velestin,
Venedik,
Venedik körfezi,
Venezia,Use for: Venetia
Venice,
Verona,
Vienna,
Vigne di Pera,
Villa d'Ipsara,
Vinjerac,
Vinograd,
Vlorë,
Volin,
Vollonia,
Volos,
Vrana,
Wallachia,
Yabana,
Yahya,
Yali,
Yalis,
Yanya,
Yare,
Yaris,
Yaş,
Yenibazar,
Yenifoça Turkey,
Yenişehir,
Yolya,
yurdu,
Zadar,
Zaden,
Zadra,
Zakise,
Zakynthos,
Zanise,
Zante,
Zara,
Zara,
Zatalze,
Zegar,
Zemun,
Zemunik,
Zincirkuyu,
Ziran,
