doc_id,doc2people_id,person_display_name,role,person_id
Carte_Turche_270,PersonDocumentRelation0074,Haleb Kadısı,Addressee,Person_554
Carte_Turche_275,PersonDocumentRelation0075,Almoro,Mentioned,Person_502
Carte_Turche_276,PersonDocumentRelation0076,Almoro,Mentioned,Person_502
Carte_Turche_276,PersonDocumentRelation0077,Delvine Kadısı,Addressee,Person_550
Carte_Turche_277,PersonDocumentRelation0078,Almoro,Mentioned,Person_502
Carte_Turche_278,PersonDocumentRelation0079,Almoro,Mentioned,Person_502
Carte_Turche_279,PersonDocumentRelation0080,Almoro,Mentioned,Person_502
Carte_Turche_283,PersonDocumentRelation0081,Aleksandro Molin,Mentioned,Person_478
Carte_Turche_29,PersonDocumentRelation0082,Cristoforo di Bonà,Undefined,Person_406
Carte_Turche_292,PersonDocumentRelation0083,Draç Kadısı,Addressee,Person_552
Carte_Turche_296,PersonDocumentRelation0084,Corcu Custinyan Kavalir,Mentioned,Person_548
Carte_Turche_297,PersonDocumentRelation0085,Ali Paşa,Undefined,Person_500
Carte_Turche_305,PersonDocumentRelation0086,Ahmed Kaymakam,Sender,Person_463
Carte_Turche_305,PersonDocumentRelation0087,Ali Paşa,Undefined,Person_500
Carte_Turche_306,PersonDocumentRelation0088,Ahmed Kaymakam,Undefined,Person_463
Carte_Turche_306,PersonDocumentRelation0089,Saray Kadısı,Addressee,Person_492
Carte_Turche_307,PersonDocumentRelation0090,Saray Kadısı,Addressee,Person_492
Carte_Turche_308,PersonDocumentRelation0091,Bartolo Canki,Mentioned,Person_524
Carte_Turche_309,PersonDocumentRelation0092,Ahmed Bey,Mentioned,Person_459
Carte_Turche_316,PersonDocumentRelation0093,Aleksandır Rugunmi,Undefined,Person_477
Carte_Turche_316,PersonDocumentRelation0094,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_316,PersonDocumentRelation0095,Haleb Kadısı,Addressee,Person_554
Carte_Turche_317,PersonDocumentRelation0096,Draç Kadısı,Addressee,Person_552
Carte_Turche_318,PersonDocumentRelation0097,Anderya Petrovik,Mentioned,Person_505
Carte_Turche_320,PersonDocumentRelation0098,Abdurrahman Efendi,Undefined,Person_438
Carte_Turche_320,PersonDocumentRelation0099,Ahmed Efendi ibn Muharrem,Undefined,Person_460
Carte_Turche_320,PersonDocumentRelation0100,Corcu Custinyan Kavalir,Mentioned,Person_548
Carte_Turche_321,PersonDocumentRelation0101,Delvine Kadısı,Addressee,Person_550
Carte_Turche_325,PersonDocumentRelation0102,Bartolo Baruti,Undefined,Person_523
Carte_Turche_327,PersonDocumentRelation0103,Bartolo Baruti,Mentioned,Person_523
Carte_Turche_328,PersonDocumentRelation0104,Bartolo Baruti,Undefined,Person_523
Carte_Turche_33,PersonDocumentRelation0105,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_33,PersonDocumentRelation0106,Haleb Kadısı,Addressee,Person_554
Carte_Turche_336,PersonDocumentRelation0107,Aleksanderi Vunhonmi,Mentioned,Person_476
Carte_Turche_337,PersonDocumentRelation0108,Aleksanderi Vunhonmi,Undefined,Person_476
Carte_Turche_337,PersonDocumentRelation0109,Yusuf Ağa,Undefined,Person_485
Carte_Turche_338,PersonDocumentRelation0110,Aleksanderi Vunhonmi,Mentioned,Person_476
Carte_Turche_339,PersonDocumentRelation0111,Sakız Kadısı,Addressee,Person_490
Carte_Turche_339,PersonDocumentRelation0112,Sakız Sancakbeyi,Addressee,Person_491
Carte_Turche_344,PersonDocumentRelation0113,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_344,PersonDocumentRelation0114,Haleb Kadısı,Addressee,Person_554
Carte_Turche_345,PersonDocumentRelation0115,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_364,PersonDocumentRelation0116,Ali Paşa,Sender,Person_500
Carte_Turche_373,PersonDocumentRelation0117,Draç Kadısı,Addressee,Person_552
Carte_Turche_374,PersonDocumentRelation0118,Cafer Ağa,Mentioned,Person_541
Carte_Turche_38,PersonDocumentRelation0119,Haleb Kadısı,Addressee,Person_554
Carte_Turche_384,PersonDocumentRelation0120,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_384,PersonDocumentRelation0121,Haleb Kadısı,Addressee,Person_554
Carte_Turche_391,PersonDocumentRelation0122,Bihaç Beyi,Addressee,Person_532
Carte_Turche_391,PersonDocumentRelation0123,Bihaç Kadısı,Addressee,Person_533
Carte_Turche_392,PersonDocumentRelation0124,Bihaç Beyi,Addressee,Person_532
