ihtiyar,,,,,,,,,,,,,,,,,,
imam,,,,,,,,,,,,,,,,,,
imamlık,,,,,,,,,,,,,,,,,,
Inquisitori di Stato,,,,,,,,,,,,,,,,,,
iş er,,,,,,,,,,,,,,,,,,
iş erbabı,,,,,,,,,,,,,,,,,,
ıstabl-i amire,(imperial stables),,,,,,,,,,,,,,,,,
kadi,,,,,,,,,,,,,,,,,,
kadiasker,Use for: kazasker,,,,,,,,,,,,,,,,,
kadilik,,,,,,,,,,,,,,,,,,
kahya,,,,,,,,,,,,,,,,,,
kaimmakam,Use for: kaim-i makam; kaymakam,,,,,,,,,,,,,,,,,
kalafatcı,,,,,,,,,,,,,,,,,,
kalim,,,,,,,,,,,,,,,,,,
kapı ağası,,,,,,,,,,,,,,,,,,
kapıkahya,(voyvoda's agent at the Porte. See Philliou 2011: 146),,,,,,,,,,,,,,,,,
kapucu,,,,,,,,,,,,,,,,,,
kapudan paşa,Use for: Kapudan-ı Derya,,,,,,,,,,,,,,,,,
kasap,,,,,,,,,,,,,,,,,,
kassam,,,,,,,,,,,,,,,,,,
katip,,,,,,,,,,,,,,,,,,
kaymakam,,,,,,,,,,,,,,,,,,
kaza,,,,,,,,,,,,,,,,,,
kazasker,,,,,,,,,,,,,,,,,,
kehhal,,,,,,,,,,,,,,,,,,
kethüda,,,,,,,,,,,,,,,,,,
kethüdalık,,,,,,,,,,,,,,,,,,
kiler odası,,,,,,,,,,,,,,,,,,
kilerci,,,,,,,,,,,,,,,,,,
kisedar,,,,,,,,,,,,,,,,,,
kızlar ağası,,,,,,,,,,,,,,,,,,
konsolos,,,,,,,,,,,,,,,,,,
korucu,,,,,,,,,,,,,,,,,,
küçük odalar,,,,,,,,,,,,,,,,,,
kullar ağası,,,,,,,,,,,,,,,,,,
kumbaracı,,,,,,,,,,,,,,,,,,
kürekçi,,,,,,,,,,,,,,,,,,
lağımcı,,,,,,,,,,,,,,,,,,
lale,,,,,,,,,,,,,,,,,,
levend,,,,,,,,,,,,,,,,,,
Maggior Consiglio,,,,,,,,,,,,,,,,,,
matbah-ı amire,,,,,,,,,,,,,,,,,,
matbah-ı amire emini,,,,,,,,,,,,,,,,,,
mehter,,,,,,,,,,,,,,,,,,
mektupçu,,,,,,,,,,,,,,,,,,
Messetteria,,,,,,,,,,,,,,,,,,
mimar,,,,,,,,,,,,,,,,,,
miralay,,,,,,,,,,,,,,,,,,
mirliva,,,,,,,,,,,,,,,,,,
mirlivalık,,,,,,,,,,,,,,,,,,
molla,,,,,,,,,,,,,,,,,,
